gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,Do you frequently absent from school?,Class
M,KW,KuwaIT,0,4,1,IT,F,0,0,0,0,0,1,1,0,1
M,KW,KuwaIT,0,4,1,IT,F,0,0,0,0,0,1,1,0,1
M,KW,KuwaIT,0,4,1,IT,F,0,0,0,0,0,0,0,1,0
M,KW,KuwaIT,0,4,1,IT,F,0,0,0,0,0,0,0,1,0
M,KW,KuwaIT,0,4,1,IT,F,0,1,1,0,1,0,0,1,1
F,KW,KuwaIT,0,4,1,IT,F,0,1,0,0,1,1,0,1,1
M,KW,KuwaIT,1,7,1,Math,F,0,0,0,0,0,0,0,1,0
M,KW,KuwaIT,1,7,1,Math,F,0,1,0,0,0,1,1,0,1
F,KW,KuwaIT,1,7,1,Math,F,0,0,0,0,1,1,1,0,1
F,KW,KuwaIT,1,7,2,IT,F,0,1,1,0,1,1,1,0,1
M,KW,KuwaIT,1,7,1,Math,F,0,1,1,1,1,1,1,0,2
M,KW,KuwaIT,1,7,2,Math,F,0,0,0,0,0,1,1,0,1
M,KW,KuwaIT,0,4,1,IT,F,0,0,0,0,0,0,0,1,0
M,lebanon,lebanon,1,8,1,Math,F,0,0,0,0,0,0,0,1,0
F,KW,KuwaIT,1,8,1,Math,F,1,1,1,1,1,0,0,1,2
F,KW,KuwaIT,1,6,1,IT,F,0,0,0,0,1,1,1,0,1
M,KW,KuwaIT,1,7,2,IT,F,0,0,0,0,1,0,0,1,1
M,KW,KuwaIT,1,7,1,Math,F,0,1,0,1,1,0,0,1,1
F,KW,KuwaIT,1,7,1,IT,F,1,1,0,1,1,1,1,0,1
M,KW,KuwaIT,1,7,2,IT,F,1,1,1,1,1,1,1,0,2
F,KW,KuwaIT,1,7,1,IT,F,0,1,1,1,1,0,0,1,1
F,KW,KuwaIT,1,7,2,IT,F,0,0,0,0,1,0,0,0,1
M,KW,KuwaIT,1,7,1,IT,F,0,0,0,0,1,0,0,0,1
M,KW,KuwaIT,1,7,1,IT,F,0,0,0,0,1,0,0,1,0
M,KW,KuwaIT,1,7,2,IT,F,0,0,0,0,1,1,1,1,0
M,KW,KuwaIT,1,7,1,IT,F,0,0,0,1,0,1,1,1,0
M,KW,KuwaIT,1,7,2,IT,F,0,0,0,0,0,1,0,0,1
